Name,Verb,Verb_Counts,Verb_Counts_Percentaje,Noun,Noun_Counts,Noun_Counts_Percentaje,Pron,Pron_Counts,Pron_Counts_Percentaje
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",be,599,19.410239792611794,’,453,2.766412213740458,you,1011,15.635632539437056
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",have,127,4.115359688917692,attachment,353,2.1557251908396946,your,607,9.387565728425612
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",’,79,2.559948152948801,partner,331,2.021374045801527,she,527,8.150324775750077
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",do,67,2.171095268956578,t,331,2.021374045801527,he,511,7.902876585214971
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",find,59,1.911860012961763,relationship,283,1.7282442748091602,it,483,7.469842251778534
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",make,39,1.2637718729747245,style,272,1.6610687022900763,her,465,7.191463037426539
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",meet,37,1.1989630589760207,people,254,1.551145038167939,they,429,6.634704608722549
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",s,35,1.134154244977317,s,221,1.349618320610687,their,375,5.799566965666563
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",become,35,1.134154244977317,”,219,1.3374045801526717,we,322,4.979894834519023
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",know,35,1.134154244977317,i,202,1.233587786259542,his,273,4.222084751005259
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",go,34,1.101749837977965,secure,192,1.1725190839694657,what,212,3.278688524590164
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",say,34,1.101749837977965,“,146,0.8916030534351145,who,201,3.1085678935972783
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",want,34,1.101749837977965,time,142,0.867175572519084,our,180,2.7837921435199506
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",activate,34,1.101749837977965,way,141,0.8610687022900764,him,180,2.7837921435199506
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",use,33,1.069345430978613,someone,138,0.8427480916030534,them,156,2.4126198577172904
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",felt,32,1.0369410239792611,needs,137,0.8366412213740458,me,134,2.072378595731519
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",come,27,0.8749189889825016,•,132,0.8061068702290076,my,100,1.546551190844417
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",get,26,0.8425145819831497,relationships,121,0.7389312977099237,us,73,1.1289823693164245
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",tell,25,0.8101101749837978,person,111,0.6778625954198473,yourself,66,1.0207237859573153
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",ask,24,0.7777057679844459,life,88,0.5374045801526718,s,26,0.40210330961954843
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,be,2329,21.833692697103217,i,3402,13.628715647784633,my,1938,17.727771679473108
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,have,746,6.99353145214212,”,1021,4.090217130037657,you,1408,12.87961946578851
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,say,615,5.765444829849067,t,878,3.517346366477045,it,1321,12.083790706183681
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,begin,196,1.8374425799193774,’,787,3.152792244211201,me,1208,11.050128064398097
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,ask,195,1.8280678728789725,“,714,2.860347728547392,she,950,8.690084156604463
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,do,192,1.7999437517577577,time,234,0.9374248858264562,her,752,6.878887669227955
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,get,174,1.6311990250304678,d,231,0.9254066180594503,he,647,5.918404683497988
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,felt,147,1.3780819349395332,door,208,0.8332665651790722,what,523,4.784120014635931
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,know,138,1.2937095715758882,m,202,0.8092300296450605,his,318,2.9088913282107574
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,take,123,1.1530889659698134,eyes,187,0.7491386908100313,they,315,2.8814489571899013
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,want,120,1.1249648448485985,s,163,0.6529925486739845,we,292,2.671057446030004
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,look,119,1.1155901378081936,hell,163,0.6529925486739845,your,241,2.204537138675448
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,’,103,0.9655948251617137,moment,131,0.5247976924925888,him,210,1.920965971459934
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,make,98,0.9187212899596887,face,131,0.5247976924925888,them,187,1.7105744603000366
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,need,89,0.8343489265960439,room,128,0.5127794247255829,who,127,1.1617270398829125
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,pull,88,0.8249742195556389,head,125,0.500761156958577,their,112,1.0245151847786316
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,s,87,0.8155995125152339,way,118,0.4727185321688967,our,101,0.9238931577021589
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,come,83,0.7781006843536139,something,115,0.4607002644018909,myself,89,0.814123673618734
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,think,78,0.731227149151589,shit,109,0.4366637288678792,us,64,0.5854372484449323
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,realize,71,0.6656041998687541,cell,108,0.43265763961221054,s,25,0.2286864251738017
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",be,98,14.141414141414142,t,192,3.37909186906019,you,963,26.28992628992629
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",make,20,2.886002886002886,dream,132,2.3231256599788805,we,649,17.71771771771772
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",have,18,2.5974025974025974,mind,111,1.9535374868004225,your,359,9.8007098007098
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",become,18,2.5974025974025974,word,110,1.9359380499824006,it,302,8.244608244608244
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",say,17,2.4531024531024532,life,107,1.8831397395283351,what,193,5.268905268905269
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",call,17,2.4531024531024532,i,107,1.8831397395283351,our,185,5.05050505050505
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",learn,16,2.3088023088023086,way,102,1.7951425554382259,they,180,4.914004914004914
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",love,15,2.1645021645021645,agreements,98,1.7247448081661387,he,123,3.357903357903358
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",do,14,2.0202020202020203,love,79,1.390355508623724,us,113,3.0849030849030847
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",use,11,1.5873015873015872,agreement,71,1.2495600140795495,yourself,78,2.1294021294021293
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",put,11,1.5873015873015872,everything,69,1.2143611404435057,my,73,1.9929019929019929
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",grow,10,1.443001443001443,”,59,1.0383667722632877,who,64,1.7472017472017471
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",s,9,1.2987012987012987,people,59,1.0383667722632877,me,61,1.6653016653016652
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",go,8,1.1544011544011543,others,53,0.9327701513551566,she,48,1.3104013104013104
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",give,8,1.1544011544011543,’,51,0.8975712777191129,their,46,1.255801255801256
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",bear,8,1.1544011544011543,time,50,0.8799718409010912,ourselves,43,1.173901173901174
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",base,8,1.1544011544011543,fear,44,0.7743752199929602,them,42,1.1466011466011465
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",accept,8,1.1544011544011543,assumptions,43,0.7567757831749384,her,35,0.9555009555009555
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",come,7,1.0101010101010102,day,43,0.7567757831749384,his,32,0.8736008736008736
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",saw,7,1.0101010101010102,power,40,0.703977472720873,him,16,0.4368004368004368
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,be,460,14.687100893997446,’,570,2.1975479990747164,you,1020,19.387949059114238
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,s,134,4.278416347381865,”,363,1.3994910941475827,it,773,14.693024139897357
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,have,103,3.288633461047254,flow,298,1.1488935153057291,we,663,12.602166888424254
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,’,97,3.0970625798212006,“,281,1.0833526100701674,your,484,9.199771906481658
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,do,93,2.9693486590038316,brain,281,1.0833526100701674,our,398,7.565101691693594
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,get,45,1.4367816091954022,i,277,1.0679312206029763,what,368,6.994867895837293
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,require,42,1.3409961685823755,s,272,1.0486544837689875,they,234,4.447823607679148
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,learn,41,1.3090676883780332,t,246,0.9484154522322461,my,222,4.219730089336628
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,say,34,1.0855683269476373,time,244,0.9407047574986507,us,182,3.459418361528227
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,discover,34,1.0855683269476373,creativity,205,0.7903462101935385,he,154,2.9272001520623454
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,give,32,1.0217113665389528,way,173,0.6669750944560104,their,141,2.680098840524615
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,find,29,0.9259259259259259,attention,153,0.5898681471200555,me,94,1.7867325603497435
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,use,28,0.8939974457215837,goals,134,0.5166165471508983,them,93,1.7677247671545333
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,come,28,0.8939974457215837,work,126,0.4857737682165163,his,88,1.672685801178483
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,go,28,0.8939974457215837,people,124,0.4780630734829208,who,79,1.5016156624215928
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,start,27,0.8620689655172413,performance,123,0.47420772611612305,yourself,58,1.102452005322182
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,take,26,0.8301404853128991,york,118,0.4549309892821343,its,44,0.8363429005892415
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,become,25,0.7982120051085568,passion,117,0.45107564191533656,s,42,0.7983273141988215
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,write,24,0.7662835249042146,information,112,0.43179890508134783,itself,24,0.45618703668504085
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,produce,24,0.7662835249042146,dopamine,110,0.42408821034775235,ourselves,16,0.3041246911233606
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",be,1624,24.034334763948497,’,769,3.272061952174283,he,958,14.855016281594045
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",have,491,7.2665384046174335,”,547,2.3274614926389243,it,806,12.498061714994574
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",say,247,3.655468403137487,“,418,1.7785720364224322,you,635,9.846487827570165
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",do,154,2.279117951753737,i,387,1.6466683686494767,they,578,8.962629865095364
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",go,124,1.8351339351783336,t,344,1.4637052165773126,his,489,7.582570941231198
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",get,111,1.6427408613289922,s,309,1.3147817207046208,we,391,6.062955496976276
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",s,110,1.627941394109812,people,218,0.9275806314356225,what,330,5.117072414327803
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",come,104,1.5391445907947314,school,182,0.7744021785379968,their,329,5.101566134284385
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",make,80,1.1839573775344088,time,134,0.5701642413411625,she,310,4.806946813459451
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",take,67,0.9915643036850673,children,130,0.5531444132414263,who,248,3.845557450767561
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",know,63,0.9323664348083469,way,123,0.523359714066888,them,217,3.3648627694216158
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",call,63,0.9323664348083469,students,114,0.4850651008424815,her,210,3.2563188091176927
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",’,62,0.9175669675891668,years,112,0.4765551867926134,him,171,2.651573887424407
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",give,50,0.7399733609590055,class,104,0.442515530593141,my,170,2.636067607380989
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",want,50,0.7399733609590055,world,85,0.3616713471193941,me,121,1.8762598852535277
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",turn,45,0.6659760248631049,walker,83,0.353161433069526,your,116,1.7987284850364398
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",begin,44,0.6511765576439248,things,75,0.3191217768700536,us,76,1.1784772832997363
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",tell,44,0.6511765576439248,city,73,0.3106118628201855,our,76,1.1784772832997363
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",start,44,0.6511765576439248,law,73,0.3106118628201855,its,50,0.7753140021708792
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",think,43,0.6363770904247447,man,72,0.3063569057952515,himself,43,0.6667700418669561
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,be,2948,23.72826786864134,’,1181,3.1835458392861957,he,1642,16.484288726031522
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,have,1166,9.385061171925306,”,785,2.1160740760708414,she,1355,13.603051902419436
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,say,394,3.171281390856407,s,631,1.700946168153759,her,1308,13.13121172573035
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,seem,226,1.8190598840952994,“,527,1.4206000485214438,his,1037,10.41060134524646
